timestamp,emotion,confidence
2026-04-23T17:11:44.577,Neutral,0.9567
2026-04-23T17:11:44.590,Neutral,0.9850
2026-04-23T17:11:44.684,Neutral,0.8935
2026-04-23T17:11:44.699,Neutral,0.9928
2026-04-23T17:11:44.848,Neutral,0.9236
2026-04-23T17:11:44.944,Neutral,0.9957
2026-04-23T17:11:44.992,Neutral,0.9826
2026-04-23T17:11:45.008,Fear,0.9983
2026-04-23T17:11:45.128,Neutral,0.9092
2026-04-23T17:11:45.246,Neutral,0.7230
2026-04-23T17:11:45.259,Neutral,0.9801
2026-04-23T17:11:45.361,Neutral,0.5959
2026-04-23T17:11:45.458,Neutral,0.5269
2026-04-23T17:11:45.584,Neutral,0.5545
2026-04-23T17:11:45.599,Fear,0.9994
2026-04-23T17:11:45.692,Neutral,0.8589
2026-04-23T17:11:45.706,Fear,0.9991
2026-04-23T17:11:45.724,Fear,0.9978
2026-04-23T17:11:45.853,Neutral,0.9603
2026-04-23T17:11:45.871,Fear,0.9987
2026-04-23T17:11:45.968,Neutral,0.7956
2026-04-23T17:11:46.072,Neutral,0.7788
2026-04-23T17:11:46.085,Neutral,0.9893
2026-04-23T17:11:46.189,Neutral,0.7582
2026-04-23T17:11:46.203,Fear,0.9993
2026-04-23T17:11:46.296,Neutral,0.9526
2026-04-23T17:11:46.310,Neutral,0.9887
2026-04-23T17:11:46.413,Neutral,0.9678
2026-04-23T17:11:46.431,Fear,0.9993
2026-04-23T17:11:46.523,Neutral,0.7729
2026-04-23T17:11:46.537,Fear,0.9994
2026-04-23T17:11:46.604,Neutral,0.9924
2026-04-23T17:11:46.652,Neutral,0.6315
2026-04-23T17:11:46.665,Fear,0.9994
2026-04-23T17:11:46.767,Neutral,0.7087
2026-04-23T17:11:46.781,Neutral,0.9718
2026-04-23T17:11:46.796,Fear,0.9995
2026-04-23T17:11:46.944,Neutral,0.5842
2026-04-23T17:11:47.041,Neutral,0.7673
2026-04-23T17:11:47.140,Neutral,0.6944
2026-04-23T17:11:47.275,Neutral,0.8995
